Company_ID,Quarter,Revenue,Net_Profit,Debt_to_Equity,Current_Ratio,EPS,Stock_Volatility,Market_Cap,Credit_Score,Credit_Risk_Score,Stock_Trend
C320,Q3,416.82,-156.07,3.74,4.43,4.77,36.93,487.84,821,Low,Stable
C131,Q2,1908.57,177.03,2.71,4.49,6.8,23.11,476.2,782,Low,Up
C485,Q4,4028.88,1126.8,4.06,0.55,16.32,51.17,163.0,666,Medium,Down
C307,Q2,2195.69,142.0,3.93,4.49,11.14,46.93,211.14,706,Low,Stable
C135,Q2,4986.05,-63.89,1.15,1.72,-3.88,44.65,55.21,817,Low,Up
C021,Q2,2817.34,606.57,3.61,0.68,8.55,59.84,124.15,630,Medium,Up
C329,Q2,1639.75,-183.05,4.02,4.32,-4.57,19.27,441.27,534,High,Up
C167,Q3,1139.55,-55.9,1.8,4.39,14.46,45.45,180.74,710,Low,Up
C274,Q4,1785.08,1172.96,0.95,3.18,3.21,35.33,310.47,482,High,Down
C388,Q3,1894.04,1111.5,0.11,3.08,6.8,22.21,333.15,586,Medium,Down
C089,Q4,390.13,1355.74,2.31,4.16,14.97,13.83,391.02,422,High,Down
C316,Q2,1879.39,1252.68,1.83,4.04,-3.84,54.27,91.81,457,High,Down
C014,Q1,2347.98,961.4,2.82,4.51,-1.04,37.75,152.75,622,Medium,Stable
C242,Q3,3627.55,-111.03,1.02,2.99,4.95,50.37,224.44,312,High,Stable
C265,Q1,3300.81,1130.84,4.31,4.85,0.75,34.99,182.74,503,High,Down
C346,Q3,3558.39,1237.37,1.36,4.98,3.45,17.1,491.46,601,Medium,Up
C053,Q2,91.4,1158.44,1.21,1.02,19.95,23.57,417.55,342,High,Up
C386,Q3,1127.45,664.41,2.46,4.32,15.64,25.98,240.1,805,Low,Up
C340,Q2,3325.34,195.93,2.54,2.75,17.1,58.51,439.69,490,High,Stable
C092,Q3,2445.75,1237.06,1.15,2.24,18.43,5.31,174.15,359,High,Up
C367,Q2,76.3,1036.18,1.43,3.26,3.52,59.21,393.02,765,Low,Up
C444,Q2,4032.25,1467.29,0.93,0.75,2.43,58.93,112.23,678,Low,Stable
C455,Q4,3875.41,64.68,3.62,2.78,0.85,59.79,386.27,728,Low,Down
C428,Q2,2764.67,183.63,3.87,4.42,15.75,31.21,228.5,361,High,Stable
C264,Q4,378.99,160.06,2.37,1.46,11.99,58.01,54.2,601,Medium,Stable
C431,Q2,3844.25,1147.32,3.6,2.42,0.9,26.76,136.99,471,High,Up
C035,Q1,2939.38,117.74,3.71,4.73,4.42,6.45,201.44,804,Low,Stable
C206,Q2,3920.7,-86.68,0.78,2.43,7.67,17.34,374.77,362,High,Up
C081,Q1,3771.15,1497.55,4.83,2.11,8.2,56.99,36.95,315,High,Stable
C420,Q1,4024.86,-157.81,4.12,2.48,17.22,5.76,329.94,400,High,Down
C050,Q2,2614.14,1219.91,1.1,2.84,4.51,35.03,358.15,475,High,Stable
C360,Q1,744.61,421.12,1.01,3.34,17.71,9.16,327.13,492,High,Stable
C388,Q4,3372.23,1230.75,0.72,4.1,6.03,20.75,380.45,572,High,Down
C002,Q3,3121.35,742.85,0.78,2.53,13.66,9.85,89.5,766,Low,Down
C390,Q2,3724.15,1332.77,3.77,4.18,18.26,52.27,293.76,474,High,Stable
C054,Q1,890.91,1374.53,2.4,2.9,17.69,37.51,470.6,533,High,Stable
C106,Q2,1015.13,-184.53,3.94,2.02,-3.58,54.62,305.59,515,High,Down
C260,Q4,4457.53,-71.8,3.76,3.46,0.14,42.86,305.86,790,Low,Down
C310,Q2,3762.39,225.61,3.06,3.73,6.92,58.41,368.35,716,Low,Up
C477,Q2,4545.73,937.84,3.46,3.01,5.79,33.04,166.94,832,Low,Stable
C191,Q1,3805.64,1310.06,0.19,0.75,11.02,40.13,350.39,750,Low,Down
C402,Q4,3005.92,581.9,1.63,1.26,18.62,36.7,458.16,579,High,Stable
C218,Q3,3287.96,831.85,3.23,1.78,-2.19,31.63,5.94,543,High,Down
C044,Q3,4451.18,120.45,0.15,1.77,6.3,51.53,435.12,445,High,Up
C162,Q1,2915.09,1168.44,0.26,3.53,-0.19,40.45,109.7,366,High,Up
C202,Q2,3180.34,1444.46,4.27,0.58,17.35,49.07,228.23,402,High,Up
C446,Q1,824.56,256.62,3.45,3.9,19.11,48.25,426.25,609,Medium,Down
C484,Q1,2395.91,641.2,1.4,1.69,6.97,15.51,412.04,416,High,Up
C270,Q1,3596.17,-53.6,3.47,1.9,-2.4,40.76,446.02,771,Low,Down
C351,Q2,1391.17,750.53,3.98,2.88,14.63,15.98,470.24,620,Medium,Up
C304,Q4,1051.16,654.73,1.6,1.47,12.43,37.08,223.85,734,Low,Up
C271,Q1,1603.44,45.54,0.28,4.48,3.87,42.26,328.35,669,Medium,Up
C456,Q2,1245.43,551.51,4.67,0.88,17.19,59.85,195.54,486,High,Up
C462,Q4,1113.82,367.98,1.79,2.5,19.4,6.68,175.68,768,Low,Up
C215,Q1,2153.01,687.11,0.62,4.32,8.95,10.02,216.08,772,Low,Stable
C252,Q3,4543.8,795.61,2.51,3.27,9.14,9.24,371.67,753,Low,Up
C190,Q4,2559.95,-185.56,3.87,1.82,2.44,26.91,250.97,745,Low,Up
C296,Q1,980.21,1093.71,1.19,2.39,9.61,50.19,407.12,393,High,Stable
C213,Q4,431.01,1012.12,1.42,3.68,5.99,51.42,372.74,337,High,Up
C208,Q4,3495.97,422.69,1.29,4.88,2.55,45.53,10.73,781,Low,Stable
C237,Q4,1944.85,-110.01,4.96,4.52,-3.32,54.33,315.3,410,High,Stable
C338,Q4,4118.06,1083.39,1.07,2.04,1.32,22.76,218.57,709,Low,Down
C367,Q4,3314.58,1423.8,2.92,4.99,-0.05,9.85,228.59,467,High,Down
C053,Q4,3991.4,208.26,4.63,0.52,8.55,8.2,409.28,696,Low,Up
C280,Q1,1396.13,349.99,0.82,0.62,10.04,51.87,274.03,426,High,Down
C410,Q3,3477.18,112.48,4.86,4.21,10.21,45.17,442.87,341,High,Down
C217,Q2,1357.11,780.79,4.74,1.4,4.7,43.42,356.55,340,High,Up
C252,Q4,4698.39,63.23,4.43,0.77,5.53,23.68,276.64,786,Low,Up
C188,Q2,3200.05,405.53,1.15,1.57,15.86,25.89,377.39,698,Low,Stable
C380,Q1,1656.33,984.92,3.21,2.42,6.91,57.7,19.66,481,High,Up
C493,Q4,1384.08,752.2,3.83,3.79,19.69,8.51,14.03,480,High,Stable
C041,Q3,995.09,456.99,4.93,3.31,5.99,47.56,42.13,763,Low,Down
C157,Q2,3488.47,514.42,0.98,1.57,11.24,22.03,219.06,349,High,Up
C015,Q4,1132.64,755.59,3.85,2.76,-3.74,7.15,118.11,707,Low,Up
C301,Q1,2996.75,-190.03,1.76,4.67,11.33,45.84,492.14,700,Low,Up
C065,Q3,1359.94,-66.53,0.96,4.17,16.29,23.2,271.37,445,High,Down
C345,Q2,3326.75,1298.14,2.16,1.95,18.56,44.72,331.38,597,Medium,Up
C327,Q2,4083.95,-67.61,3.99,4.92,19.93,43.92,139.77,444,High,Down
C009,Q4,3901.22,1001.57,2.38,3.69,2.05,34.41,161.24,315,High,Down
C344,Q3,3816.21,1364.06,2.73,0.78,9.38,47.76,168.06,384,High,Stable
C129,Q3,979.23,260.16,4.98,0.66,6.27,36.96,349.52,515,High,Up
C492,Q3,487.51,429.84,2.06,1.26,9.1,20.77,237.12,781,Low,Down
C136,Q3,3509.8,767.17,3.12,3.78,-1.06,45.38,259.08,351,High,Up
C472,Q1,1873.32,1298.91,1.89,1.33,16.4,37.4,296.21,847,Low,Up
C063,Q3,2190.11,1401.24,2.02,2.8,17.74,5.7,384.52,406,High,Up
C139,Q2,204.19,1057.26,3.51,0.92,6.24,54.59,45.64,518,High,Stable
C499,Q2,1334.9,-52.75,4.7,4.64,2.01,35.01,388.55,636,Medium,Stable
C081,Q1,216.7,937.56,2.76,2.05,-1.48,52.77,281.84,670,Low,Up
C392,Q2,4401.97,497.52,3.87,4.59,12.09,53.55,334.71,553,High,Down
C163,Q2,1254.81,600.19,0.54,4.75,2.81,29.47,164.11,704,Low,Up
C419,Q3,2808.82,-116.45,1.13,0.53,17.74,32.92,204.99,329,High,Down
C289,Q2,242.95,124.81,2.56,2.59,11.78,27.87,115.97,484,High,Up
C379,Q1,3350.89,1143.87,0.2,0.61,11.14,29.72,489.66,588,Medium,Down
C261,Q3,1648.99,571.73,1.34,4.59,8.99,54.23,248.75,658,Medium,Down
C490,Q4,4494.7,312.83,2.64,2.83,-3.86,48.35,498.04,773,Low,Down
C231,Q3,4446.19,452.83,0.17,0.84,18.3,11.96,245.15,699,Low,Up
C041,Q1,1660.19,1252.48,1.4,1.0,10.7,38.57,110.27,432,High,Down
C028,Q3,4509.76,1073.3,2.62,2.23,19.85,59.77,253.97,801,Low,Down
C135,Q3,4980.98,262.94,2.91,4.73,8.43,37.76,20.28,802,Low,Up
C201,Q1,4135.81,-0.25,4.64,3.62,12.75,48.22,452.43,376,High,Up
C328,Q3,4232.11,228.4,3.26,4.4,-3.59,47.3,409.37,649,Medium,Stable
C268,Q1,1282.59,1365.29,2.13,2.15,10.79,24.27,363.05,359,High,Stable
C418,Q1,2904.68,788.7,4.66,0.69,14.12,25.45,305.11,754,Low,Up
C033,Q4,382.92,706.92,3.95,4.88,14.46,44.82,290.13,764,Low,Down
C048,Q2,519.84,813.87,1.08,0.58,14.25,32.5,498.37,610,Medium,Down
C407,Q2,4994.52,422.25,0.74,4.76,0.66,36.38,139.36,390,High,Stable
C062,Q3,1666.86,1172.08,3.41,2.16,19.38,44.21,389.95,597,Medium,Stable
C216,Q3,3753.51,689.59,2.84,0.55,19.88,47.77,290.91,624,Medium,Down
C293,Q4,4042.99,-1.53,3.97,3.6,-3.11,19.93,487.95,579,High,Up
C099,Q4,4297.22,19.41,3.72,4.91,18.41,13.07,413.99,417,High,Down
C172,Q4,4988.26,712.66,3.16,4.85,2.24,21.05,499.26,570,High,Stable
C360,Q1,1245.41,1392.17,4.93,1.22,12.23,32.91,294.37,816,Low,Stable
C214,Q4,249.74,324.2,2.71,1.32,3.45,23.82,102.67,400,High,Up
C475,Q4,2085.4,1278.22,0.65,3.04,19.19,36.26,252.09,687,Low,Stable
C035,Q3,693.9,1098.96,4.16,3.37,-2.46,7.94,355.7,585,Medium,Down
C449,Q4,161.01,221.28,1.33,3.83,7.44,33.04,387.29,352,High,Up
C227,Q1,1834.11,-138.22,3.91,1.31,5.7,25.24,0.75,539,High,Down
C101,Q1,3929.5,-26.86,4.79,4.82,3.15,34.41,252.76,513,High,Up
C431,Q3,2852.59,1038.44,3.51,3.37,11.14,28.24,118.0,660,Medium,Down
C462,Q4,1598.25,139.44,3.02,4.31,-1.72,20.63,437.52,663,Medium,Down
C131,Q4,3288.99,431.16,2.36,2.93,12.92,54.73,76.88,626,Medium,Stable
C257,Q1,1198.49,652.89,1.89,2.36,19.51,15.16,333.39,775,Low,Stable
C005,Q4,121.19,1033.3,1.83,4.9,15.11,42.48,133.4,396,High,Up
C218,Q4,3833.55,-7.51,3.22,3.12,16.5,55.86,178.59,626,Medium,Up
C255,Q4,3137.53,490.82,3.78,4.4,3.99,34.63,470.31,372,High,Stable
C398,Q2,3823.4,624.62,3.42,4.79,3.12,53.2,120.6,555,High,Down
C359,Q3,242.74,719.41,1.07,3.54,7.93,11.87,47.95,469,High,Stable
C283,Q2,4193.74,1191.21,2.52,2.97,-3.86,32.16,35.11,632,Medium,Up
C393,Q3,3116.65,91.85,3.98,0.52,18.63,30.14,252.56,456,High,Stable
C207,Q1,2838.81,1173.31,2.43,0.68,-1.41,5.45,321.03,718,Low,Down
C015,Q4,3141.84,977.89,2.73,1.4,17.58,29.38,163.98,757,Low,Up
C346,Q3,4328.94,744.98,3.88,1.34,-2.91,25.3,345.28,398,High,Up
C042,Q2,2955.34,989.2,3.34,1.65,15.57,41.84,30.99,543,High,Stable
C380,Q4,2925.7,500.43,2.11,1.87,-1.2,56.61,428.74,776,Low,Down
C461,Q1,4953.86,35.28,4.49,2.12,-4.05,9.72,408.38,740,Low,Stable
C179,Q3,3795.81,931.8,0.9,2.39,12.99,23.01,492.76,493,High,Stable
C063,Q3,2239.35,691.94,4.98,0.94,2.01,29.42,468.28,674,Low,Up
C352,Q3,3551.62,886.94,0.68,0.69,12.86,30.04,178.42,666,Medium,Down
C231,Q4,1976.69,374.6,0.17,3.53,8.88,47.61,199.94,454,High,Up
C241,Q2,1182.93,1341.67,4.46,2.92,-2.28,29.39,373.11,798,Low,Down
C052,Q2,3004.42,798.53,1.3,2.5,18.3,6.49,67.47,833,Low,Up
C096,Q3,4644.5,-54.82,3.68,3.35,6.31,44.06,157.35,757,Low,Down
C388,Q1,4649.24,564.67,4.07,4.22,13.36,53.67,59.71,412,High,Down
C222,Q1,1742.43,1085.81,4.31,2.42,7.53,33.26,227.72,323,High,Up
C485,Q2,2662.0,1150.03,4.96,3.39,10.11,36.96,276.23,582,Medium,Up
C407,Q1,1097.6,640.81,1.54,4.79,2.57,13.96,105.97,591,Medium,Down
C231,Q2,4978.37,1321.07,3.58,4.28,0.01,17.14,13.8,662,Medium,Stable
C237,Q3,4906.53,255.04,0.67,2.42,8.56,17.93,359.82,700,Low,Down
C143,Q2,3265.07,498.02,2.09,3.4,6.01,28.69,10.49,565,High,Stable
C171,Q2,4031.85,1327.61,4.26,1.3,4.75,56.05,486.71,353,High,Up
C029,Q3,3589.75,1323.64,1.9,3.02,11.81,33.7,111.19,721,Low,Up
C036,Q1,2986.13,965.71,3.0,4.92,12.26,15.57,332.12,773,Low,Down
C013,Q2,314.07,1260.27,2.57,2.83,-3.85,19.63,217.66,542,High,Stable
C160,Q2,2301.08,-49.09,3.27,4.67,3.47,26.12,30.31,653,Medium,Down
C327,Q3,3390.19,1270.49,4.87,2.33,5.29,39.28,236.36,687,Low,Down
C187,Q1,3403.78,345.05,0.37,4.99,-2.58,29.2,258.62,477,High,Stable
C243,Q2,1896.96,103.16,2.91,3.11,0.9,26.58,427.41,774,Low,Up
C086,Q3,4711.38,206.93,4.33,0.69,-3.71,36.06,366.31,704,Low,Up
C284,Q2,878.42,510.55,2.46,3.14,19.91,18.3,40.11,335,High,Up
C066,Q4,2526.78,227.03,0.48,1.74,13.41,9.34,104.98,657,Medium,Up
C170,Q3,3469.88,344.96,2.85,0.65,-2.81,6.34,156.29,626,Medium,Stable
C045,Q1,3500.82,29.46,1.73,4.19,-4.49,18.82,58.65,343,High,Down
C062,Q1,3260.76,303.5,0.86,1.74,12.98,10.04,228.72,619,Medium,Down
C441,Q1,1412.68,772.88,4.26,4.08,5.98,23.5,492.16,771,Low,Stable
C134,Q1,823.22,551.15,2.66,1.8,14.67,47.51,257.55,568,High,Stable
C284,Q2,3197.9,389.42,4.67,1.37,18.09,44.4,371.07,824,Low,Down
C028,Q2,3016.55,1068.97,4.05,4.88,9.98,38.6,341.63,324,High,Stable
C108,Q1,937.81,1318.97,3.5,2.13,-0.32,51.89,425.03,456,High,Up
C044,Q1,3540.44,1086.54,0.12,3.21,14.55,20.51,108.25,484,High,Stable
C340,Q1,2303.1,364.4,2.2,3.24,18.9,53.68,377.04,473,High,Up
C286,Q2,3355.41,1065.55,1.07,3.02,9.51,26.96,440.74,693,Low,Down
C446,Q1,4194.97,58.37,4.56,4.62,12.05,27.05,86.17,485,High,Up
C331,Q1,890.16,21.54,0.96,3.53,3.44,27.29,173.73,580,Medium,Stable
C128,Q4,144.77,387.57,1.5,2.32,4.54,10.4,485.07,594,Medium,Up
C348,Q4,3906.56,1173.09,2.63,4.38,13.37,58.65,390.5,827,Low,Down
C473,Q1,3068.0,218.79,1.39,1.31,18.19,12.62,141.65,487,High,Down
C231,Q3,3513.22,-92.47,1.13,2.95,10.72,23.75,282.19,711,Low,Down
C190,Q1,4198.87,23.91,3.04,4.78,14.75,22.56,202.46,485,High,Stable
C225,Q4,4023.91,1259.87,0.54,3.31,-0.71,9.11,245.24,843,Low,Stable
C385,Q3,4806.55,877.43,0.39,4.18,0.3,13.37,177.91,600,Medium,Stable
C377,Q3,2702.88,230.44,1.92,3.44,8.3,7.47,140.03,608,Medium,Up
C283,Q1,2468.05,744.0,3.63,4.28,-0.59,21.08,337.54,488,High,Up
C446,Q4,2039.34,696.89,2.82,4.75,10.87,52.67,389.38,710,Low,Up
C121,Q4,810.77,914.24,2.17,1.73,2.29,23.67,437.04,837,Low,Stable
C116,Q3,2884.41,196.42,2.87,1.26,14.79,11.8,78.09,686,Low,Down
C461,Q1,1421.21,1269.49,1.89,2.68,15.2,40.51,411.52,492,High,Up
C233,Q2,4610.47,325.93,4.69,3.66,6.59,59.81,127.77,462,High,Down
C259,Q2,2936.79,980.02,0.37,1.52,-0.48,17.78,213.95,352,High,Down
C359,Q4,2984.56,-172.59,3.4,0.52,11.17,20.38,450.77,774,Low,Up
C198,Q2,1806.88,433.52,4.47,2.04,19.82,58.45,227.52,473,High,Stable
C456,Q4,307.35,397.91,4.04,4.86,10.56,14.83,98.93,495,High,Up
C411,Q4,207.13,723.92,1.0,3.63,-4.11,33.12,80.35,510,High,Down
C137,Q4,2145.51,-76.35,1.55,2.31,-4.57,18.18,236.76,689,Low,Down
C318,Q2,468.6,1143.22,3.61,1.37,3.01,56.28,381.45,607,Medium,Up
C165,Q4,3053.89,170.23,0.51,2.1,-0.11,58.98,498.6,756,Low,Stable
C225,Q3,4410.82,950.96,4.08,1.26,15.33,49.81,393.81,630,Medium,Up
C307,Q1,4420.43,1165.46,3.62,0.98,16.12,22.31,438.57,794,Low,Up
C234,Q1,3312.27,755.19,3.68,4.58,1.47,27.19,374.04,628,Medium,Stable
C172,Q4,1095.6,1059.5,0.59,4.99,3.14,18.33,447.77,328,High,Up
C152,Q1,4321.83,925.16,3.62,1.24,0.91,53.99,38.61,421,High,Up
C463,Q2,4436.16,404.4,3.43,0.75,17.71,55.3,465.0,757,Low,Up
C315,Q2,1023.44,1175.06,4.17,1.98,7.57,28.04,198.5,717,Low,Down
C374,Q1,3700.26,300.99,0.3,2.58,11.4,41.11,460.85,458,High,Up
C160,Q2,1468.27,771.06,0.21,1.42,5.39,14.11,38.33,815,Low,Down
C096,Q1,4023.07,1067.18,1.93,1.86,10.78,28.92,357.76,301,High,Up
C472,Q1,4986.33,444.23,0.83,1.4,4.65,39.73,367.98,601,Medium,Up
C233,Q1,198.63,314.7,2.84,3.98,3.49,26.2,498.46,378,High,Down
C180,Q4,4491.96,580.89,4.6,3.71,10.86,24.67,384.54,614,Medium,Up
C113,Q1,3132.02,1190.54,2.02,3.36,9.78,5.05,191.6,627,Medium,Down
C318,Q4,4868.24,1380.87,4.24,2.24,2.34,49.24,278.85,575,High,Down
C497,Q1,2351.8,726.64,0.1,4.59,-1.27,53.91,183.59,751,Low,Stable
C442,Q1,4244.57,924.49,0.93,4.86,4.21,58.32,98.41,785,Low,Up
C052,Q1,358.85,1335.57,0.25,1.28,5.38,44.56,124.63,406,High,Down
C268,Q2,1709.63,-32.47,1.71,1.5,10.72,35.18,111.39,545,High,Up
C295,Q4,381.73,194.53,4.55,2.87,17.86,19.81,274.63,463,High,Stable
C386,Q4,4877.95,1005.13,0.58,0.91,-4.1,59.96,453.13,826,Low,Stable
C387,Q1,4094.02,1200.37,3.07,2.46,1.09,37.44,456.41,300,High,Stable
C113,Q1,4270.11,1256.95,2.31,3.12,-0.16,42.46,27.85,436,High,Up
C101,Q2,4692.93,505.68,4.7,2.85,7.56,42.53,40.41,450,High,Up
C113,Q2,471.26,-48.12,0.7,1.99,5.74,51.49,122.94,479,High,Down
C440,Q2,1958.71,544.23,1.14,2.94,13.23,5.53,127.9,786,Low,Up
C081,Q4,401.62,192.25,0.24,4.81,1.06,17.11,47.9,317,High,Stable
C187,Q4,1093.43,295.03,2.23,1.43,9.86,41.6,194.54,524,High,Up
C113,Q4,1185.36,1112.85,1.46,3.45,17.1,54.23,294.07,404,High,Down
C002,Q1,2372.08,-71.6,4.36,0.7,17.77,42.69,289.29,364,High,Stable
C130,Q4,1379.38,1206.89,3.06,0.8,18.97,27.74,271.94,632,Medium,Up
C220,Q3,549.84,527.04,3.11,2.98,14.33,24.89,169.67,671,Low,Down
C054,Q3,879.08,813.31,2.71,0.97,17.65,45.59,353.37,506,High,Up
C343,Q2,779.01,-47.59,0.55,0.6,0.86,45.77,413.33,528,High,Up
C485,Q4,4866.73,373.51,2.28,1.27,-0.06,38.39,173.46,441,High,Up
C224,Q3,3808.5,-47.51,5.0,3.04,-4.84,21.03,43.22,630,Medium,Up
C225,Q2,4840.42,1434.62,4.19,3.67,12.67,55.88,148.52,570,High,Up
C385,Q4,2226.72,1172.34,4.48,1.41,18.44,35.35,69.12,624,Medium,Down
C403,Q1,1427.92,581.38,4.13,3.51,-0.33,48.48,233.95,826,Low,Stable
C126,Q3,4001.55,180.12,0.6,1.32,10.92,16.79,78.39,846,Low,Up
C130,Q1,1664.96,1386.87,1.21,3.26,13.66,23.92,231.69,368,High,Stable
C053,Q4,1531.95,385.81,0.12,2.35,18.19,53.1,110.89,511,High,Stable
C172,Q3,1200.9,73.67,1.59,3.44,11.17,7.76,369.5,681,Low,Stable
C218,Q4,691.91,757.38,0.63,4.98,19.26,33.18,14.27,719,Low,Down
C160,Q1,1319.49,1404.42,2.42,4.72,3.62,31.49,277.6,347,High,Up
C198,Q3,1808.83,-193.49,3.42,0.52,3.75,46.32,85.16,530,High,Stable
C416,Q1,3386.27,204.81,4.39,4.48,8.58,20.5,1.0,776,Low,Stable
C247,Q4,359.7,1395.36,3.77,0.8,4.59,17.05,434.67,388,High,Up
C324,Q4,1092.01,90.85,4.7,4.79,-4.96,55.94,335.93,351,High,Stable
C439,Q1,4054.67,-7.49,0.36,1.77,13.29,36.44,49.92,833,Low,Up
C203,Q3,777.26,769.32,0.16,2.22,13.79,10.76,332.2,721,Low,Stable
C184,Q1,1746.09,1265.13,3.34,0.91,13.67,15.62,306.02,745,Low,Up
C123,Q4,4330.06,611.09,1.52,1.01,3.63,59.94,236.94,430,High,Down
C401,Q1,816.88,1490.76,1.34,3.77,8.06,15.76,209.92,673,Low,Down
C255,Q4,459.55,954.59,1.72,4.75,4.0,38.58,443.59,829,Low,Up
C294,Q1,2448.46,-74.07,1.42,3.25,-4.6,28.11,122.95,404,High,Up
C280,Q3,1546.98,1487.81,2.61,3.72,9.06,53.71,199.46,686,Low,Stable
C325,Q3,2838.87,493.42,2.26,3.93,-1.91,46.53,164.89,635,Medium,Down
C372,Q1,4028.83,288.58,2.61,1.68,-3.0,37.83,385.71,416,High,Down
C098,Q1,728.89,748.39,3.4,0.7,13.89,5.59,458.27,300,High,Down
C198,Q3,2924.46,317.32,2.0,0.51,-4.76,53.39,424.97,837,Low,Stable
C470,Q4,2552.27,-53.02,1.33,2.08,18.98,29.46,398.95,735,Low,Up
